"","y","x"
"1",22.962963,-35.606632
"2",25.438599,-54.347824
"3",22.682732,-20.409229
"4",15.853659,-44.972065
"5",18.238993,-20.114943
"6",25,-50.589966
"7",15.482444,-20.688524
"8",26.44628,-51.353569
"9",16.949154,-51.870327
"10",36.91275,-43.010754
"11",26.162792,-48.535393
"12",18.848167,-57.770802
"13",23.966942,-31.963085
"14",34.751774,-30.006929
"15",18.527792,-22.618391
"16",29.847494,-31.865639
"17",13.740458,-53.416927
"18",29.217392,-32.88316
"19",7.9166665,-62.559891
"20",31.444813,-31.257051
"21",26.086956,-51.171505
"22",26.153847,-42.188679
"23",25.925926,-16.41534
"24",31.125828,-16.001057
"25",37.654324,1.0800749
"26",14.7651,-49.389751
"27",24.669399,-13.259768
"28",6.333333,-13.458446
"29",31.518623,-38.282921
"30",40.163933,-44.848038
"31",5.6962023,-48.613377
"32",9.1428566,-29.275364
"33",29.957808,-41.903873
"34",7.2033896,-39.61039
"35",18.095812,-6.4047737
"36",23.809525,-44.0625
"37",12.785389,-36.441799
"38",23.412699,-15.833118
"39",4.961832,-54.948532
"40",3.0612245,-22.209097
"41",7.1856289,-23.964256
"42",18.232044,-60.076859
"43",5.0473189,-25.353018
"44",14.868805,-26.349821
"45",16.363636,-44.525108
"46",10,-42.264851
"47",6.0975609,-41.634613
"48",23.741497,13.828546
"49",10.204082,-50.068027
"50",3.0737705,-36.410702
"51",1.3793104,-49.521988
"52",4.427083,-13.656386
"53",22.864691,-25.663715
"54",24.501425,-25.479334
"55",16.422289,-12.65378
"56",25.373135,-61.301773
"57",15.501165,6.8918915
"58",4.4303799,-8.1188116
"59",21.745712,-18.416636
"60",10.034602,-34.082031
"61",11.734694,-31.366989
"62",11.926807,12.069818
"63",2.8571429,-13.691128
"64",6.3943162,-13.413015
"65",4.6189375,-37.461536
"66",1.2295082,-16.00325
"67",18.661972,-37.936192
"68",2.003643,-52.582951
"69",6.8376074,-2.0435362
"70",0.44843051,-36.392914
"71",2.1582735,-47.429077
"72",2.3026316,-34.125874
"73",0.80645156,-43.267258
"74",9.3922653,2.1244316
"75",7.8740158,-17.247099
"76",2.3529413,-13.827162
"77",1.183432,3.4624875
"78",27.936766,-20.931929
"79",4.7058825,-42.586987
"80",1.4981273,-60.165184
"81",0,-19.15064
"82",20.625,-22.939867
"83",14.503818,-50.122749
"84",16.2465,-55.020409
"85",14.285715,-53.381012
"86",10.460251,-44.210526
"87",22.965042,0.050911307
"88",13.111888,-26.573723
"89",4.5454545,-33.684208
"90",2.0618556,-50.434101
"91",10.729614,-49.151745
"92",21.73913,-56.594944
"93",14.492753,-50.943394
"94",23.211447,-27.261322
"95",30.000002,-34.011974
"96",8.0645161,-50.546021
"97",4.5840406,-4.704
"98",31.621624,-27.623125
"99",15.57377,-24.372091
"100",12.099644,-48.50872
"101",29.763779,-55.542313
"102",13.829787,-36.311569
"103",33.678757,-48.479729
"104",25.491014,-29.942019
"105",12.863071,-23.139534
"106",15.74074,-62.103504
"107",5.5555558,-53.056232
"108",23.32815,-22.325796
"109",8.0882359,16.554058
"110",12.42236,-43.710022
"111",32.867134,-40.52953
"112",26.262627,-38.191883
"113",1.7964072,-51.683502
"114",22.08589,-1.8897638
"115",8.965518,-21.289063
"116",22.568092,-38.108616
"117",2.8662422,-0.53608418
"118",2.8248587,-6.5446854
"119",5.5944057,-29.136028
"120",0.86956519,-8.782937
"121",3.3557045,-40.105541
"122",11.609907,-8.7380857
"123",22.794117,-49.703262
"124",0.69444448,-48.737862
"125",1.1494253,-54.899132
"126",5.0505052,-5.0125303
"127",17.532467,-50.735294
"128",14.204545,-53.575619
"129",8.3969469,-37.295082
"130",1.6949153,-40.051903
"131",20.481928,-37.29604
"132",29.497984,-10.984781
"133",12.138728,3.0940592
"134",11.864407,-36.507935
"135",10.546875,-15.850672
"136",1.7857144,-35.928146
"137",6.8273091,-41.549294
"138",3.6649215,-27.932961
"139",9.6153851,-15.141958
"140",20.212767,-35.105068
"141",12.566845,-45.56609
"142",2.9411764,-12.347825
"143",13.69863,-51.360172
"144",4.9327354,-41.849636
"145",3.2432432,-49.395649
"146",3.0075188,-50.696957
"147",5.147059,-14.954129
"148",5.3571429,-36.399681
"149",18.947369,-49.624496
"150",15.737052,-50.943398
"151",20.615034,-52.29324
"152",30.021143,-57.287746
"153",7.1428576,-59.744991
"154",26.174498,-42.547928
"155",22.222223,-29.641485
"156",20.869564,-55.137337
"157",13.709678,-37.632774
"158",9.5238094,-46.313961
"159",13.73916,9.5963163
"160",4.4897957,-41.596638
"161",6.551476,-35.691593
"162",6.3106799,16.735252
"163",8.8942308,-25.896622
"164",8.333334,-6.5510602
"165",5.0856533,-2.7462692
"166",11.267606,-21.371185
"167",8.90411,-56.868847
"168",2.7149322,-27.397263
"169",19.160105,-28.130901
"170",10.683761,-7.9514832
"171",1.826484,12.636364
"172",16.379311,-6.2135935
"173",1.9900497,-63.455658
"174",12.21374,-20.926386
"175",10.358566,-38.674034
"176",21.247038,1.2854874
"177",18.439716,9.509203
"178",6.5721645,-44.409733
"179",13.688212,-52.549286
"180",10.047847,-52.87611
"181",0.68493152,-23.946785
"182",27.844313,-36.548225
"183",3.9421811,-52.356022
"184",10.526316,-59.183674
"185",2.4271843,7.4981422
"186",13.357401,-60.467709
"187",14.736841,-49.090912
"188",2.4752476,0.24968982
"189",5.217391,-41.666664
"190",1.8808776,1.8828452
"191",7.4193544,-44.992847
"192",6.5989842,-16.722408
"193",10.077519,-38.788658
"194",24.210526,-9.8360653
"195",9.2369471,-56.866051
"196",7.5471697,-49.039547
"197",14.5,1.4545441
"198",20.873787,-49.430378
"199",25.461742,-12.701363
"200",22,-9.3869734
"201",27.155962,-30.013899
"202",15.957446,-26.152199
"203",40.098164,-4.5007257
"204",30.172413,-52.461803
"205",3.521127,-49.951027
"206",9.5744686,-5.5865912
"207",21.138212,-46.897255
"208",21.487602,-48.675293
"209",7,-33.265514
"210",2.9126215,-7.0222216
"211",14,-49.719418
"212",4.3103447,-9.2173901
"213",14.383562,-16.274092
"214",16.799999,-31.268221
"215",18.97436,-8.6945829
"216",19.101124,-37.922401
"217",24.184566,-14.028337
"218",16.107382,-71.030212
"219",16.053278,5.675818
"220",10.948905,-49.281048
"221",11.409396,-52.7897
"222",27.5,-52.032516
"223",26.739927,-24.77755
"224",10.119048,-52.087288
"225",11.881188,-52.307693
"226",20.79208,-32.299545
"227",8.2926836,-4.1850224
"228",27.777779,-52.824188
"229",13.02521,-29.404091
"230",24.108721,4.5851307
"231",25.471699,-21.17848
"232",30.727762,-29.414316
"233",10.23622,-28.174603
"234",29.126215,-49.529514
"235",13.333334,-48.9842
"236",18.452381,-50.424564
"237",22.708334,-27.868855
"238",20,-18.255251
"239",8.4415588,-11.788213
"240",32.653061,-51.456306
"241",21.73913,-21.394283
"242",36.309738,0.44942796
"243",28.523489,-0.09816885
"244",51.908493,-22.969843
"245",37.662334,-19.899664
"246",18.857357,9.5768051
"247",16.32653,-0.85591972
"248",22.143864,-11.0313
"249",13.142857,-4.2088838
"250",23.752792,-30.691385
"251",24.896265,-41.355751
"252",35.927853,6.2525301
"253",25.333332,-57.770081
"254",28.992975,-12.87702
"255",16.908213,-48.076923
"256",8.4033613,-20.887995
"257",13.425925,-17.810457
"258",33.13253,-45.334862
"259",37.64045,-14.453125
"260",3.62117,-26.909458
"261",24.271845,-37.353737
"262",6.0240965,-1.2059391
"263",21.714285,-34.368965
"264",28.928047,-31.805075
"265",16.859123,-2.1304667
"266",18.120806,1.9065187
"267",33.007233,-2.4906902
"268",21.559074,-9.631999
"269",25.328758,-4.8010273
"270",13.953489,-50.777203
"271",19.887642,15.538674
"272",27.109571,-2.4107277
"273",6.9536424,4.3321314
"274",25.85837,-35.233082
"275",21.428572,-33.487514
"276",16.853933,-29.674896
"277",13.596492,-43.193069
"278",19.854168,-9.3298073
"279",33.714287,-53.846149
"280",22.758621,8.6956501
"281",7.7777781,-42.193623
"282",25.873178,-33.931828
"283",34,-12.573101
"284",25.420717,3.6185966
"285",24.098673,10.596874
"286",7.1979432,-23.943663
"287",7,5.4708509
"288",9.9173555,-29.076921
"289",27.090302,-32.772018
"290",27.443106,-54.019291
"291",22.635136,-51.81102
"292",14.385965,-57.064064
"293",5.5793991,-51.874363
"294",14.239483,-45.857796
"295",20.314735,-42.278912
"296",18.936567,-37.871624
"297",9.7759676,-40.735786
"298",31.032127,-58.007122
"299",14.403293,-41.567291
"300",23.558647,-28.272068
"301",22.194513,-29.815746
"302",6.3829789,-15.43062
"303",22.268908,-48.740742
"304",16.666668,-13.410954
"305",19.020716,-40.136055
"306",7.8602619,-55.257839
"307",15.639811,11.631942
"308",20.796459,-22.30311
"309",13.167259,0.44612288
"310",25.4147,-24.156908
"311",10.958904,-55.291004
"312",14.896074,-32.261364
